;Carbon Dioxide Emissions per capita (tonnes);Forest area (thousand ha);GDP per capita in PPP terms (constant 2005 international $);Health index;Life expectancy at birth (years);Population total both sexes (thousands);Under-five mortality rate (per 1,000 live births)
Albania;3.6;769;4805;0.854;74.2;3071.9;27
Algeria;14.0;1579;6087;0.790;70.1;30533.8;46
Angola;2.5;59728;2569;0.398;45.2;13926.4;212
Antigua and Barbuda;16.5;10;13928;0.804;70.9;77.7;19
Argentina;14.0;31861;1028;0.848;73.8;36930.7;21
Armenia;4.1;304;2294;0.807;71.2;3076.1;36
Australia;63.1;15492;29763;0.939;79.5;19164.4;6
Austria;27.9;3838;31697;0.916;78.1;8004.7;5
Azerbaijan;13.8;936;249;0.739;66.9;8110.7;69
Bahrain;111.4;0;23294;0.847;73.7;638.2;13
Bangladesh;0.7;1468;893;0.706;64.7;129592.3;90
Belarus;21.6;8273;5898;0.759;68.1;10057.8;18
Belgium;42.2;667;30371;0.912;77.8;10175.7;6
Belize;10.3;1489;5621;0.844;73.5;250.5;27
Benin;0.8;5061;1279;0.515;52.7;6517.8;144
Bhutan;2.6;3141;2749;0.652;61.3;571.3;106
Bolivia (Plurinational State of);3.8;60091;34;0.678;63.0;8307.2;86
Bosnia and Herzegovina;22.0;2185;5009;0.860;74.5;3693.7;17
Botswana;9.1;12535;9736;0.487;50.9;1757.9;99
Brazil;6.9;545943;7921;0.791;70.1;174425.4;34
Brunei Darussalam;71.8;397;47543;0.886;76.1;327.0;8
Bulgaria;19.7;3375;7213;0.811;71.4;8006.2;18
Burkina Faso;0.2;6248;912;0.478;50.3;12294.0;188
Burundi;0.2;198;348;0.412;46.1;6374.3;178
Cambodia;0.6;11546;101;0.594;57.6;12446.9;106
Cameroon;0.8;22116;1831;0.475;50.1;15678.3;156
Canada;64.2;310134;32447;0.932;79.1;30667.4;6
Cape Verde;1.5;82;2272;0.784;69.7;437.2;41
Central African Republic;0.3;22903;757;0.374;43.7;3701.6;184
Chad;0.1;12317;734;0.450;48.5;8222.3;205
Chile;14.2;15834;1047;0.898;77.0;15419.8;11
China;9.8;177001;2667;0.808;71.2;1269116.7;36
Colombia;5.1;61509;6617;0.805;71.0;39764.2;26
Comoros;0.4;8;1093;0.598;57.9;562.5;114
Congo;1.2;22556;3223;0.539;54.2;3135.8;116
CongoRD;0.1;157249;254;0.405;45.7;49626.2;199
Costa Rica;5.1;2376;8113;0.912;77.8;3919.2;13
Cote d'Ivoire;1.5;10328;1737;0.474;50.1;16581.7;142
Croatia;16.5;1885;12368;0.864;74.8;4505.5;8
Cyprus;31.9;172;22737;0.915;78.0;943.3;6
Czech Republic;42.0;2637;16886;0.866;74.9;10242.9;5
Denmark;32.3;486;31666;0.892;76.6;5339.5;6
